"V1"	"V2"
"1"	-0.151952	-0.313606
"2"	-0.174456	-0.303168
"3"	-0.555411	-0.632524
"4"	-0.18914	-0.155778
"5"	-0.305438	-0.188833
"6"	-0.114139	-0.455971
"7"	-0.280833	-0.0911432
"8"	-0.252409	-0.161156
"9"	0.232046	0.161824
"10"	0.243374	-0.0837136
"11"	0.0833356	-0.167443
"12"	-0.320295	-0.258601
"13"	-0.308064	-0.271792
"14"	0.317606	-0.306933
"15"	-0.140815	-0.124482
"16"	-0.180745	-0.410336
"17"	-0.14371	-0.374618
"18"	0.156871	-0.226693
"19"	-0.0214511	-0.174303
"20"	-0.242788	-0.475793
"21"	0.0678447	-0.266764
"22"	-0.316134	-0.320389
"23"	-0.140419	-0.258017
"24"	0.0114893	-0.0813206
"25"	-0.253585	-0.204284
"26"	-0.397891	0.828303
"27"	-0.410228	-0.192503
"28"	-0.297388	-0.349729
"29"	-0.0199993	-0.222681
"30"	-0.288028	-0.144968
"31"	-0.386954	-0.372738
"32"	-0.186432	-0.0980207
"33"	-0.144419	-0.181354
"34"	-0.402137	-0.202321
"35"	-0.292828	-0.0465309
"36"	0.110693	-0.228334
"37"	-0.333113	-0.189469
"38"	-0.175368	-0.215539
"39"	0.172865	-0.181628
"40"	0.135269	0.0530841
"41"	-0.192621	-0.10129
"42"	-0.369855	-0.50442
"43"	-0.721424	-0.181416
"44"	-0.356201	-0.260851
"45"	-0.210011	-0.166375
"46"	-0.484096	-0.290634
"47"	-0.0752146	0.133279
"48"	-0.377466	-0.831516
"49"	-0.161399	-0.134718
"50"	-0.413418	-0.210146
"51"	0.204574	-0.177591
"52"	-0.120483	-0.179681
"53"	-0.123859	-0.309671
"54"	-0.188143	-0.293441
"55"	-0.0718818	-0.334596
"56"	0.158435	-0.2186
"57"	-0.218334	-0.322689
"58"	-0.195543	-0.141919
"59"	-0.2889	-0.0969072
"60"	-0.0691314	-0.425964
"61"	-0.472246	-0.389
"62"	-0.121833	0.054157
"63"	-0.392734	0.0383727
"64"	-0.170286	-0.619056
"65"	-0.146986	-0.198039
"66"	-0.812254	-0.271537
"67"	-0.240073	-0.114854
"68"	-0.243946	-0.162189
"69"	-0.124048	-0.418453
"70"	-0.518533	-0.641185
"71"	-0.0895406	-0.21039
"72"	-0.297724	-0.0305145
"73"	-0.266427	-0.796796
"74"	-0.405605	-0.296482
"75"	-0.128643	-0.145804
"76"	-0.100524	0.0314909
"77"	-0.0409261	-0.36493
"78"	-0.191147	-0.049334
"79"	-0.128229	0.268592
"80"	-0.328099	-0.423365
"81"	-0.395031	-0.328881
"82"	-0.2154	-0.256164
"83"	-0.200334	-0.255286
"84"	-0.179358	-0.0589738
"85"	-0.193395	-0.356014
"86"	-0.290026	-0.532783
"87"	-0.257945	-0.360916
"88"	-0.123689	0.137616
"89"	-0.432365	-0.202766
"90"	-0.2814	-0.422584
"91"	-0.32978	-0.0150575
"92"	-0.130377	-0.347966
"93"	-0.0993886	-0.371651
"94"	-0.208891	-0.308718
"95"	-0.621266	-0.520789
"96"	-0.407543	-0.299781
"97"	-0.227862	-0.136419
"98"	-0.329142	-0.217983
"99"	-0.268404	-0.271924
"100"	-0.181721	-0.179447
"101"	-0.247823	-0.446084
"102"	-0.329284	-0.607354
"103"	-0.0524746	-0.251145
"104"	-0.211828	-0.290629
"105"	-0.160485	-0.158009
"106"	-0.146284	-0.532625
"107"	-0.36678	-0.352727
"108"	-0.0372045	-0.232759
"109"	-0.684045	-0.350435
"110"	-0.18075	-0.177555
"111"	-0.128475	-0.365259
"112"	-0.231743	0.108292
"113"	-0.372963	0.0362808
"114"	-0.144496	-0.266066
"115"	-0.43949	-0.0989009
"116"	-0.317365	-0.323275
"117"	-0.294111	-0.399699
"118"	-0.112094	-0.151935
"119"	-0.322331	-0.264717
"120"	-0.0216156	-0.0711755
"121"	-0.215687	-0.207943
"122"	-0.0327987	-0.464278
"123"	-0.109277	-0.32619
"124"	-0.113229	-0.709503
"125"	-0.264145	-0.27865
"126"	-0.197225	-0.248854
"127"	-0.00181461	-0.122622
"128"	-0.213813	-0.46174
"129"	-0.347955	-0.356538
"130"	-0.450754	-0.18492
"131"	-0.747915	-0.241647
"132"	0.193296	-0.248727
"133"	-0.0366553	-0.040135
"134"	-0.0956287	-0.39164
"135"	-0.513302	-0.249242
"136"	-0.156766	-0.436528
"137"	-0.252761	-0.307163
"138"	-0.225492	-0.53861
"139"	-0.182354	-0.288097
"140"	-0.207473	0.0790997
"141"	-0.230595	-0.239801
"142"	-0.391575	-0.467111
"143"	-0.478388	-0.0320264
"144"	-0.208228	-0.256793
"145"	-0.271088	-0.442734
"146"	-0.297058	-0.0645267
"147"	0.0754	-0.406738
"148"	-0.260602	-0.125904
"149"	-0.0867695	0.376751
"150"	-0.0546087	-0.124119
"151"	-0.160879	-0.338335
"152"	-0.37409	-0.0840878
"153"	-0.23361	-0.321041
"154"	-0.128786	-0.263822
"155"	-0.287062	-0.383708
"156"	0.140553	0.0341986
"157"	-0.094835	-0.254356
"158"	-0.192126	-0.00989781
"159"	-0.389847	-0.436013
"160"	0.0481047	0.187188
"161"	-0.5364	-0.410396
"162"	-0.255954	-0.0994834
"163"	-0.0175711	-0.230842
"164"	-0.43957	-0.0521649
"165"	-0.380809	-0.297964
"166"	-0.182706	-0.117816
"167"	-0.0926585	-0.0224431
"168"	-0.423352	-0.0408704
"169"	0.185808	-0.19184
"170"	-0.479242	-0.327251
"171"	-0.220479	-0.206965
"172"	-0.136227	-0.399872
"173"	0.217666	-0.112393
"174"	-0.0985479	-0.019849
"175"	-0.146044	-0.344011
"176"	-0.438214	-0.608882
"177"	-0.357259	-0.4017
"178"	-0.281565	-0.272011
"179"	-0.421044	-0.895081
"180"	-0.553913	-0.210997
"181"	-0.307635	0.0953706
"182"	-0.234687	-0.307437
"183"	0.0398004	0.000301474
"184"	-0.35842	-0.513302
"185"	-0.537959	-0.242365
"186"	-0.486975	-0.114101
"187"	-0.252978	-0.306552
"188"	-0.00422002	-0.0567065
"189"	-0.15022	-0.16845
"190"	-0.619292	-0.29597
"191"	-0.351988	-0.370057
"192"	-0.435474	-0.292925
"193"	-0.232898	-0.0363209
"194"	-0.112281	0.00581937
"195"	-0.142314	-0.222389
"196"	0.0351105	-0.434417
"197"	-0.338751	-0.345851
"198"	-0.368966	-0.235991
"199"	-0.540626	-0.429925
"200"	-0.351161	0.328593
"201"	-0.0735651	-0.345524
"202"	-0.0291479	-0.275358
"203"	-0.186609	0.46094
"204"	-0.298529	-0.376434
"205"	-0.463127	-0.141676
"206"	-0.362088	-0.33394
"207"	-0.447891	-0.203947
"208"	-0.159328	0.00224911
"209"	-0.490623	0.0573559
"210"	-0.324151	-0.197639
"211"	-0.488708	-0.322655
"212"	-0.515242	-0.277209
"213"	-0.346897	-0.193656
"214"	-0.273745	-0.332904
"215"	-0.457471	-0.0797389
"216"	-0.517988	-0.46751
"217"	-0.439638	-0.124596
"218"	-0.342715	-0.191463
"219"	0.0068588	-0.401505
"220"	0.00326439	0.0577767
"221"	-0.621742	-0.315237
"222"	-0.156153	-0.276227
"223"	-0.146907	-0.199489
"224"	-0.31733	-0.24767
"225"	-0.0600885	-0.329384
"226"	-0.262887	-0.0435393
"227"	-0.200054	0.0898265
"228"	-0.346686	-0.36141
"229"	-0.257589	-0.0238362
"230"	-0.14097	-0.268109
"231"	-0.0451654	-0.309451
"232"	-0.200307	-0.372712
"233"	-0.299834	0.20098
"234"	-0.386045	0.158109
"235"	-0.0264827	0.265911
"236"	-0.108452	-0.216061
"237"	-0.495585	-0.321294
