"V1"	"V2"
"1"	-0.508694	-0.228379
"2"	-0.762539	-0.662365
"3"	-0.847139	-1.1308
"4"	-0.608893	-0.148068
"5"	0.0990632	-0.0773772
"6"	-0.804931	-0.555908
"7"	-0.47794	-0.540929
"8"	-0.341775	0.0495623
"9"	0.47855	0.049351
"10"	-0.752778	0.385899
"11"	-0.245639	-0.754069
"12"	-0.530611	-0.183762
"13"	-0.590674	-0.493245
"14"	-0.627307	-0.286622
"15"	-0.228662	-0.474509
"16"	-0.172582	-0.578029
"17"	0.617929	-0.575494
"18"	-0.500465	-0.778416
"19"	0.18337	-0.254002
"20"	-0.512711	0.0895479
"21"	0.101938	-0.238081
"22"	-0.606365	-1.09919
"23"	-0.987405	-1.33295
"24"	-0.618137	-0.0513171
"25"	-0.527709	-0.181365
"26"	-0.95471	-0.269719
"27"	-0.604353	-0.0919139
"28"	-0.129503	-1.43457
"29"	-0.1899	-0.538502
"30"	-0.330809	0.0580445
"31"	-0.501017	-0.710074
"32"	-0.430501	-0.405441
"33"	-0.0715992	-0.280605
"34"	-0.545698	-0.712241
"35"	-0.518532	-0.667885
"36"	-0.174147	-0.497337
"37"	-0.497844	-0.307543
"38"	0.220377	-0.166652
"39"	0.675325	-0.377259
"40"	-0.841562	0.280485
"41"	-0.231641	-0.281965
"42"	0.349082	-0.869607
"43"	0.28701	-0.709072
"44"	-0.561581	-0.560876
"45"	-0.401341	-0.515108
"46"	-0.197587	0.340201
"47"	-0.226052	0.12798
"48"	-0.196054	-0.670459
"49"	0.260076	-0.00931411
"50"	-1.06813	-0.73192
"51"	-0.522189	-0.550264
"52"	-0.121425	-0.354272
"53"	-0.978509	-0.5592
"54"	0.00352656	0.532507
"55"	-0.402049	0.0884261
"56"	0.917006	-0.469401
"57"	-0.724183	-0.554225
"58"	-0.329012	-0.590132
"59"	-0.405658	-0.0970667
"60"	-0.573896	-0.306288
"61"	-0.484476	-0.572375
"62"	0.617219	-0.418703
"63"	0.405951	-0.460214
"64"	0.924145	0.138511
"65"	-0.538365	-0.189391
"66"	-1.34243	-0.00371468
"67"	-0.139591	-0.07069
"68"	-0.511081	-0.319309
"69"	-0.4355	0.504059
"70"	0.701774	-1.27727
"71"	0.0697976	-0.439019
"72"	-0.51484	-0.0706485
"73"	0.763187	-0.43114
"74"	-0.244166	-0.954976
"75"	0.139785	0.0221494
"76"	-0.0954228	-0.104273
"77"	-0.317766	-0.454703
"78"	-0.0749885	-0.711142
"79"	-0.0413434	0.163494
"80"	0.0793303	-1.22441
"81"	0.162437	-0.246513
"82"	0.0153419	-0.568982
"83"	-0.291577	0.0287556
"84"	-0.521731	0.0616767
"85"	-0.324141	-0.297168
"86"	-1.00625	-1.11798
"87"	-0.233013	0.315273
"88"	-0.33203	-0.12447
"89"	-0.540077	-0.067999
"90"	0.0594416	0.155369
"91"	-0.660251	-0.00645818
"92"	0.684425	0.17913
"93"	-0.0143542	-0.0646344
"94"	0.0924952	-0.267682
"95"	-1.20381	-0.330552
"96"	-0.591715	-0.5498
"97"	-0.477812	-0.436876
"98"	-0.446457	-0.254499
"99"	0.0882478	-0.12574
"100"	-0.408972	-0.236823
"101"	-0.534282	-0.672502
"102"	-1.11156	-0.23289
"103"	0.271105	-0.352843
"104"	-0.73637	-0.673006
"105"	-0.405092	-0.111884
"106"	-1.0643	-0.764664
"107"	-0.553942	-0.0622094
"108"	0.0131024	-0.130762
"109"	-0.587525	-0.416393
"110"	-0.428694	-0.069931
"111"	-0.64044	-0.0105697
"112"	0.00551289	-0.133906
"113"	-0.257106	-0.764314
"114"	-0.327248	-0.122876
"115"	-0.398078	-0.144871
"116"	-0.219971	-0.630939
"117"	-0.558962	0.12901
"118"	0.714631	-0.289292
"119"	-0.10029	-0.388623
"120"	0.676448	-0.435365
"121"	-0.819457	-0.273249
"122"	-0.271146	-0.583521
"123"	-0.380745	0.116224
"124"	-0.164119	-0.179913
"125"	-0.200743	-0.235126
"126"	-0.143691	-0.499926
"127"	-0.911014	0.541936
"128"	-0.413754	-0.339097
"129"	-0.182588	-0.328807
"130"	-0.513624	-0.334253
"131"	-1.12402	-0.59793
"132"	0.195835	-0.367182
"133"	-0.920064	-0.875883
"134"	0.0289798	-0.201762
"135"	-0.328163	-0.145199
"136"	-0.746558	0.532146
"137"	-0.185242	0.0752924
"138"	-0.13906	-0.315141
"139"	-0.143343	-0.0622479
"140"	-0.121581	0.0720428
"141"	-0.106611	-0.678836
"142"	-0.297164	-0.839838
"143"	0.00780899	-0.277149
"144"	-0.3273	-0.499442
"145"	-0.39937	-0.168741
"146"	-0.359016	-0.173366
"147"	0.114187	-0.752071
"148"	-0.429879	-0.00474415
"149"	-0.307636	-0.655291
"150"	-0.161088	-0.174155
"151"	0.0287669	-0.66823
"152"	-0.860269	-0.182929
"153"	0.304127	-0.495864
"154"	-0.436679	0.01792
"155"	-0.321892	-0.199307
"156"	-0.547179	-0.326077
"157"	-0.00926474	0.0303855
"158"	-0.0610008	-0.460614
"159"	-0.332962	-0.112646
"160"	-0.116095	-0.151027
"161"	-0.81775	-0.0499946
"162"	-0.269138	-0.318789
"163"	0.336215	-0.527576
"164"	-0.771005	-0.609703
"165"	-0.169534	0.155379
"166"	-0.0814578	0.188893
"167"	-0.189565	0.0862162
"168"	-0.607718	-0.253479
"169"	0.480739	-0.409019
"170"	-0.75495	-0.120867
"171"	-0.722426	-0.331218
"172"	-0.144123	-1.6742
"173"	-0.963436	-0.433332
"174"	0.379921	-0.199698
"175"	-0.455533	-0.433734
"176"	-0.298131	-0.699817
"177"	0.0765842	-0.580505
"178"	-0.2842	-0.453215
"179"	0.429555	-0.781071
"180"	-0.744628	-0.30351
"181"	-0.834103	-0.878399
"182"	-0.0396935	0.151979
"183"	-1.56189	-0.40688
"184"	-0.925705	-0.328163
"185"	-0.646095	-0.269266
"186"	-1.23473	-0.383078
"187"	-0.165744	-0.21957
"188"	0.156463	-0.181957
"189"	-0.030582	-0.0696158
"190"	-0.551155	-0.183111
"191"	-0.359604	-0.321913
"192"	-0.167136	-0.239549
"193"	-0.667125	-0.382708
"194"	-0.692852	0.236034
"195"	0.452529	-0.122211
"196"	0.353206	0.155011
"197"	-0.271303	-0.41712
"198"	-0.952003	-0.728852
"199"	0.0165573	-0.319486
"200"	-0.858593	-0.317734
"201"	-0.408809	-0.61319
"202"	-0.541721	-0.0347644
"203"	-0.0164072	0.0252143
"204"	-0.399662	-0.851856
"205"	-0.112193	-0.327122
"206"	-0.433804	-0.245068
"207"	-0.270348	-0.438135
"208"	-0.703632	-0.473678
"209"	-0.428161	0.305812
"210"	-0.212105	-0.0314829
"211"	-0.703694	-0.845616
"212"	-0.0740788	-0.366189
"213"	-0.367535	-0.25556
"214"	-0.584109	-0.412244
"215"	-0.366263	-0.0950201
"216"	-0.802375	-0.942632
"217"	-0.0726066	-0.115087
"218"	-0.386537	0.163264
"219"	-0.0574771	-0.422881
"220"	-0.402495	-0.37111
"221"	-0.381875	-0.203508
"222"	-0.146116	-0.0223371
"223"	-0.570071	-0.626393
"224"	-0.51935	-0.00220809
"225"	-0.253072	0.297752
"226"	-0.83621	-0.0850269
"227"	-0.343103	-0.31413
"228"	-1.05929	-0.66813
"229"	-0.705807	-0.0272585
"230"	-0.424679	-0.0274763
"231"	-0.522152	-1.28882
"232"	-0.635433	-0.517697
"233"	-0.0983211	-0.340912
"234"	0.13176	-0.836646
"235"	0.130047	0.495537
"236"	-0.367973	0.0944709
"237"	-1.01891	-0.208948
"238"	-0.358308	-0.14776
"239"	0.0621203	-0.0123824
"240"	-0.207047	-1.40239
"241"	0.0314719	-0.150502
"242"	-0.1282	-0.398647
"243"	0.0572442	-0.687819
"244"	0.17693	-0.364454
"245"	0.194718	0.109855
"246"	-0.524579	-0.274393
"247"	-0.714902	-0.687359
"248"	-0.108874	-0.00605097
"249"	0.186462	-0.347828
"250"	0.149298	-0.499608
"251"	-0.253945	-0.196308
"252"	-0.514673	0.116509
"253"	-0.226611	-0.528289
"254"	-0.575805	-0.633436
"255"	-0.188918	-0.0247788
"256"	-0.509756	-0.336586
"257"	-0.340576	-0.31361
"258"	-0.361939	-0.594868
"259"	-0.327466	0.0604836
"260"	-0.698417	-0.704047
"261"	-0.156824	-0.704049
"262"	-0.978656	-0.398674
"263"	-0.327078	-0.458777
"264"	-0.405269	-0.801221
"265"	-0.0560727	0.269138
"266"	-0.284403	-0.442749
"267"	0.280558	-0.0967864
"268"	-0.00633609	0.382137
"269"	0.0581895	-0.00268773
"270"	-0.210297	-0.395144
"271"	-0.923628	-0.331708
"272"	-0.363931	-0.0955517
"273"	-0.134064	-0.582526
"274"	0.102089	-0.120964
"275"	0.107156	-0.317563
"276"	-0.0258055	-0.00219117
"277"	-0.19423	-0.329712
"278"	-0.151599	0.635444
"279"	-0.44348	-0.426401
"280"	0.0568299	-0.671916
"281"	-0.791839	-0.954832
"282"	0.0909056	0.193429
"283"	-0.653776	-1.06185
"284"	-0.769212	-0.851263
"285"	-0.180278	-0.304666
"286"	-0.346581	0.249109
"287"	0.120312	-0.00940814
"288"	-0.295146	-0.0791363
"289"	-0.0959257	-0.0858344
"290"	-0.543857	0.0223346
"291"	-0.138041	-0.0128279
"292"	-0.498644	-0.388734
"293"	-0.24336	0.0575565
"294"	-0.663331	-0.63695
"295"	0.979286	-0.829401
"296"	-0.347415	-0.587554
"297"	-0.0774232	-0.661695
"298"	-0.462284	-0.330825
"299"	-0.370354	-0.791871
"300"	-0.284873	0.9224
"301"	-0.344513	-0.31788
"302"	0.729804	1.09824
"303"	-0.390411	-0.239394
"304"	-0.727298	0.379764
"305"	-0.433521	0.0383746
"306"	-0.466085	-0.418567
"307"	-0.126238	-0.409279
"308"	-0.78096	-0.197751
"309"	-0.583827	0.114504
"310"	-0.402494	-0.861703
"311"	0.00112624	-0.0818766
"312"	0.0978219	-0.339143
"313"	-0.337673	-0.0317235
"314"	-0.796787	-0.568888
