"V1"	"V2"
"1"	-0.422156	-0.592528
"2"	-0.362667	-0.575964
"3"	-1.00022	-0.527489
"4"	-0.506138	-0.62969
"5"	-0.0421685	-0.190821
"6"	-0.398462	-0.44954
"7"	-0.24825	-0.120784
"8"	-0.380073	-0.60097
"9"	-0.306347	-0.123412
"10"	-0.546596	-0.693385
"11"	-0.537289	-0.304876
"12"	-0.229748	-0.256768
"13"	-0.430262	-0.383371
"14"	-0.0300782	-0.707134
"15"	-0.617664	-0.634229
"16"	-0.494245	-0.508042
"17"	0.052214	-0.412864
"18"	-0.0794324	-0.241073
"19"	-0.366005	-0.287268
"20"	-1.13236	-1.14261
"21"	-0.120264	-0.379541
"22"	-0.487388	-0.784904
"23"	-0.69804	-0.554222
"24"	-0.223871	-0.457869
"25"	-0.713544	-0.415196
"26"	-1.2074	-0.104303
"27"	-0.495461	-0.366383
"28"	-0.683308	-1.12685
"29"	-0.213387	-0.539268
"30"	-0.723783	-0.476746
"31"	-0.315947	-0.772514
"32"	-0.453684	-0.501031
"33"	-0.474681	-0.192922
"34"	-0.0871618	-0.582804
"35"	-0.817847	-0.0964532
"36"	-0.323411	-0.520562
"37"	-0.4369	-0.734193
"38"	-0.605627	-0.520243
"39"	-0.471278	-0.298607
"40"	-0.301953	-0.203193
"41"	-0.422697	-0.482287
"42"	-0.597009	-0.763913
"43"	-0.621934	-0.253512
"44"	-0.8722	-0.470568
"45"	-0.416957	-0.316624
"46"	-0.898037	-0.318357
"47"	-0.348814	-0.303127
"48"	-0.563322	-0.791233
"49"	-0.432315	-0.617518
"50"	-0.393963	-0.465044
"51"	-0.256413	-0.798008
"52"	-0.35758	-0.411205
"53"	-0.412391	-0.843094
"54"	-0.532443	-0.359525
"55"	-0.616934	-0.680576
"56"	-0.296996	-0.37695
"57"	-0.241271	-0.336355
"58"	-0.513399	-0.686573
"59"	-0.407469	-0.552834
"60"	-0.801989	-0.616923
"61"	-0.457786	-0.49276
"62"	-0.0932005	-0.568365
"63"	-0.134448	-0.534141
"64"	-0.508305	-0.504945
"65"	-0.371151	-0.326257
"66"	-0.412183	-0.50763
"67"	-0.271316	-0.394445
"68"	-0.111419	-0.370266
"69"	-0.530442	-0.296299
"70"	-0.551217	-1.05705
"71"	-0.235207	-0.402636
"72"	-0.546844	-0.64543
"73"	-0.818203	-0.819648
"74"	-0.637803	-0.666591
"75"	-0.463501	-0.643852
"76"	-0.31842	-0.414125
"77"	0.685243	-0.640588
"78"	-0.591083	-0.581227
"79"	0.111054	-0.184528
"80"	-0.345338	-0.527882
"81"	-0.187389	-0.463996
"82"	-0.541004	-0.101838
"83"	-0.711225	-0.215238
"84"	-0.43679	-0.17227
"85"	-0.379485	-0.697874
"86"	-0.0509991	-0.628212
"87"	-0.625358	-0.523905
"88"	-0.222066	-0.193542
"89"	-0.60642	-0.602536
"90"	-0.38603	-0.625502
"91"	-0.736893	-0.308955
"92"	0.170824	-0.46866
"93"	-0.331146	-0.418546
"94"	-0.669642	-0.52766
"95"	-1.42917	-1.4343
"96"	-0.600286	-0.696679
"97"	-0.291825	-0.375159
"98"	-0.556971	-0.503019
"99"	-0.902687	-0.788093
"100"	-0.78247	-0.519204
"101"	-0.134687	-0.315175
"102"	-1.26488	-0.87764
"103"	-0.0760157	-0.612477
"104"	-0.346885	-0.715342
"105"	-0.506163	-0.333498
"106"	-0.833672	-0.601625
"107"	-0.341343	-0.429897
"108"	-0.393978	-0.609081
"109"	-1.25776	-0.469486
"110"	-0.587588	-0.179817
"111"	-0.384851	-0.382719
"112"	-0.348152	-0.295476
"113"	-0.366511	-0.507049
"114"	-0.467946	-0.573415
"115"	-0.795054	-0.490355
"116"	-0.400894	-0.586365
"117"	-0.531312	-0.932872
"118"	-0.52623	-0.322367
"119"	-0.669106	-0.334951
"120"	-0.394829	-0.519596
"121"	-0.585237	-0.538371
"122"	-0.517414	-0.390956
"123"	-0.53027	-0.469916
"124"	-0.0973714	-0.434808
"125"	-0.512702	-0.440278
"126"	-0.399993	-0.66022
"127"	-0.201863	-0.26077
